4614985 4.45217 3.06374 12.4178 6.0721 -7.43504 6.32975 26.0059
4614990 4.47826 3.01703 12.3342 5.95982 -7.59575 6.28092 25.7893
4614991 4.52174 3.01703 12.4074 5.88498 -7.76884 6.24455 25.8311
4614998 4.52174 3.01703 12.4074 5.88498 -7.76884 6.24455 25.8311
4615008 4.5913 3.0544 12.3969 5.70721 -7.98706 6.09233 25.7498
4615018 4.72174 3.03571 12.5329 5.70721 -8.18512 6.04826 25.9976
4615028 4.72174 3.03571 12.5329 5.70721 -8.18512 6.04826 25.9976
4615039 4.78261 3.00769 12.7317 5.51073 -8.63901 6.02249 26.0327
4615058 4.8 2.86758 12.7108 5.37039 -9.00316 6.06646 25.7487
4615068 4.86087 2.88626 12.8363 5.40781 -9.04448 6.05799 25.9913
4615078 4.86087 2.88626 12.8363 5.40781 -9.04448 6.05799 25.9913
4615088 4.96522 2.93297 12.8782 5.31425 -9.19503 5.91835 26.0906
4615101 4.9913 2.93297 12.9723 5.27683 -9.31653 5.91719 26.1734
4615119 5.03478 2.97033 12.9514 5.1552 -9.44082 5.80285 26.1117
4615129 5.03478 2.97033 12.9514 5.1552 -9.44082 5.80285 26.1117
4615139 5.02609 2.8956 13.0769 5.10842 -9.67075 5.89706 26.107
4615149 5.05217 2.97033 13.0769 5.02422 -9.69864 5.78708 26.1236
4615159 5.05217 2.97033 13.0769 5.02422 -9.69864 5.78708 26.1236
4615169 5.11304 2.96099 13.0874 5.0055 -9.77755 5.74324 26.1669
4615180 5.15652 2.88626 13.056 4.83709 -10.1107 5.69692 25.9359
4615190 5.15652 2.88626 13.056 4.83709 -10.1107 5.69692 25.9359
4615200 5.18261 2.86758 13.1188 4.78096 -10.2629 5.69339 25.9499
4615210 5.14783 2.85824 13.1292 4.76225 -10.2872 5.72568 25.8975
4615222 5.14783 2.85824 13.1292 4.76225 -10.2872 5.72568 25.8975
4615231 5.26957 2.85824 13.0978 4.74353 -10.3639 5.61063 25.9692
4615251 5.30435 2.91429 13.0351 4.72482 -10.2973 5.50912 25.9785
4615261 5.28696 2.87692 13.0455 4.70611 -10.3697 5.54944 25.9155
4615271 5.28696 2.87692 13.0455 4.70611 -10.3697 5.54944 25.9155
4615284 5.33043 2.93297 13.0874 4.76225 -10.2656 5.50658 26.113
4615293 5.36522 2.91429 13.0665 4.79967 -10.2481 5.49994 26.1456
4615303 5.36522 2.91429 13.0665 4.79967 -10.2481 5.49994 26.1456
4615313 5.3913 2.93297 13.1711 4.79031 -10.3089 5.49945 26.2857
4615323 5.3913 2.93297 13.1711 4.79031 -10.3089 5.49945 26.2857
4615333 5.34783 2.82088 13.1292 4.79967 -10.3999 5.60982 26.0976
4615343 5.28696 2.8022 13.2548 4.82774 -10.4233 5.72758 26.1717
4615353 5.28696 2.8022 13.2548 4.82774 -10.4233 5.72758 26.1717
4615363 5.24348 2.86758 13.192 4.88387 -10.1998 5.70789 26.1869
4615373 5.26087 2.83956 13.1188 4.93066 -10.1429 5.70691 26.1499
4615393 5.29565 2.87692 13.0978 4.96808 -10.0506 5.65582 26.2385
4615403 5.29565 2.87692 13.0978 4.96808 -10.0506 5.65582 26.2385
4615413 5.21739 2.83022 13.0351 4.98679 -10.0073 5.73904 26.0695
4615423 5.1913 2.86758 12.9095 4.96808 -9.89453 5.67852 25.9365
4615433 5.1913 2.86758 12.9095 4.96808 -9.89453 5.67852 25.9365
4615443 5.17391 2.86758 12.8677 4.91194 -9.93574 5.65708 25.8211
4615453 5.2087 2.90495 12.8782 4.98679 -9.81107 5.63039 25.9786
4615473 5.17391 2.81154 12.92 4.97744 -9.95343 5.74432 25.8829
4615486 5.17391 2.81154 12.92 4.97744 -9.95343 5.74432 25.8829
4615494 5.18261 2.83022 12.9095 4.96808 -9.93981 5.71531 25.8904
4615504 5.21739 2.90495 12.9305 4.96808 -9.87172 5.63559 26.0209
4615514 5.21739 2.90495 12.9305 4.96808 -9.87172 5.63559 26.0209
4615525 5.22609 2.88626 12.8258 5.02422 -9.76551 5.62604 25.9624
4615534 5.25217 2.91429 12.8154 4.94937 -9.83748 5.55216 25.9312
4615545 5.25217 2.91429 12.8154 4.94937 -9.83748 5.55216 25.9312
4615554 5.25217 2.92363 12.8154 4.94001 -9.83749 5.54136 25.9312
4615572 5.25217 2.92363 12.8154 4.94001 -9.83749 5.54136 25.9312
4615575 5.29565 2.98901 12.6271 4.94937 -9.6519 5.38943 25.8611
4615586 5.33043 3.0544 12.5957 5.01486 -9.47944 5.32348 25.9954
4615596 5.33043 3.0544 12.5957 5.01486 -9.47944 5.32348 25.9954
4615607 5.34783 3.1011 12.4283 4.95872 -9.40193 5.18934 25.836
4615616 5.42609 3.15714 12.3865 4.94937 -9.36188 5.06534 25.9191
4615627 5.42609 3.15714 12.3865 4.94937 -9.36188 5.06534 25.9191
4615636 5.47826 3.12912 12.3028 4.93066 -9.40495 5.00722 25.8408
4615647 5.44348 3.16648 12.2714 5.01486 -9.20359 5.02561 25.8962
4615656 5.44348 3.16648 12.2714 5.01486 -9.20359 5.02561 25.8962
4615667 5.53913 3.21319 12.1249 5.01486 -9.11089 4.85909 25.8921
4615677 5.53913 3.21319 12.1249 5.01486 -9.11089 4.85909 25.8921
4615687 5.43478 3.29725 12.0098 5.0055 -8.8765 4.82572 25.7474
4615696 5.49565 3.30659 11.9785 5.01486 -8.87038 4.76307 25.7956
4615707 5.49565 3.30659 11.9785 5.01486 -8.87038 4.76307 25.7956
4615717 5.52174 3.33462 11.8634 5.03357 -8.75318 4.68324 25.7533
